Assets Export,08 Apr 2026 06:09 AM +00:00
Name,Operating System,Software last seen
lap0202,Windows 11,"31 Mar, 2026 07:45:58 AM"
az10075hnst3,Windows 11,"31 Mar, 2026 06:25:00 PM"
ca100lvis1759,Windows 11,"25 Mar, 2026 02:42:04 AM"
desktop-8cm7bcp,Windows 10,"09 Mar, 2026 03:03:42 PM"
kiosk137,Windows 11,"12 Mar, 2026 01:59:34 PM"
az100lcqb12t2,Windows 11,"31 Mar, 2026 12:08:30 AM"
kiosk159,Windows 11,"31 Mar, 2026 03:53:28 PM"
az100cxy5fy3,Windows 11,"25 Mar, 2026 12:26:26 AM"
az100lfrfhg94,Windows 11,"25 Mar, 2026 08:25:38 PM"
lap5100,Windows 11,"10 Mar, 2026 07:20:22 PM"
5p343t3,Windows 11,"16 Mar, 2026 04:46:35 PM"
az100l1tqwqw3,Windows 11,"24 Mar, 2026 06:20:02 AM"
az100l6dznsq3,Windows 11,"09 Mar, 2026 06:53:08 PM"
kiosk143,Windows 11,"20 Mar, 2026 11:36:05 PM"
az100lft0q0t3,Windows 11,"25 Mar, 2026 07:10:44 PM"
5p343t3,Windows 11,"13 Mar, 2026 06:20:32 PM"
az100l20c12t2,Windows 11,"12 Mar, 2026 11:27:32 PM"
lap5066,Windows 11,"13 Mar, 2026 05:54:19 PM"
az100l81s7vw3,Windows 11,"27 Mar, 2026 09:51:23 PM"
ca100lvis1124,Windows 11,"30 Mar, 2026 08:25:19 PM"
az100l6dznsq3,Windows 11,"13 Mar, 2026 06:22:41 PM"
ca100lvis1123,Windows 11,"17 Mar, 2026 11:10:06 PM"
kiosk138,Windows 11,"11 Mar, 2026 04:47:45 PM"
az100lg7msdw3,Windows 11,"16 Mar, 2026 05:52:16 PM"
az100l6dznsq3,Windows 11,"09 Mar, 2026 06:03:01 PM"
kiosk141,Windows 11,"26 Mar, 2026 06:46:40 PM"
kiosk149,Windows 11,"26 Mar, 2026 07:06:36 PM"
az100l6cwv374,Windows 11,"27 Mar, 2026 04:22:12 PM"
ca100lvis1754,Windows 11,"09 Mar, 2026 07:10:45 PM"
ca100lvis749,Windows 10,"30 Mar, 2026 05:31:38 PM"
ca100lvis1040,Windows 11,"23 Mar, 2026 01:04:27 PM"
ca100lvis555,Windows 11,"24 Mar, 2026 05:14:11 PM"
